,Cd,name,num_Movie,filmos
0,10013266,드웨인 존슨,8,"['쥬만지: 새로운 세계', '램페이지', '스카이스크래퍼', '분노의 질주: 홉스&쇼', '쥬만지: 넥스트 레벨', '정글 크루즈', 'DC 리그 오브 슈퍼-펫', '블랙 아담']"
1,10060900,잭 블랙,4,"['쥬만지: 새로운 세계', '벽 속에 숨은 마법시계', '구스범스: 몬스터의 역습', '쥬만지: 넥스트 레벨']"
2,10075582,케빈 하트,5,"['쥬만지: 새로운 세계', '업사이드', '마이펫의 이중생활 2', '쥬만지: 넥스트 레벨', 'DC 리그 오브 슈퍼-펫']"
3,10073312,카렌 길런,6,"['쥬만지: 새로운 세계', '어벤져스: 인피니티 워', '어벤져스: 엔드게임', '쥬만지: 넥스트 레벨', '콜 오브 와일드', '건파우더 밀크셰이크']"
4,20325612,매디슨 아이스먼,3,"['쥬만지: 새로운 세계', '구스범스: 몬스터의 역습', '애나벨 집으로']"
5,10068094,존 시나,5,"['페르디난드', '범블비', '닥터 두리틀', '분노의 질주: 더 얼티메이트', '더 수어사이드 스쿼드']"
6,10060795,케이트 맥키넌,3,"['페르디난드', '나를 차버린 스파이', '예스터데이']"
7,10012140,데이비드 테넌트,1,['페르디난드']
8,10028241,바비 카나베일,1,['페르디난드']
9,10026914,미구엘 앙겔 실베스트르,1,['페르디난드']
10,10015606,지나 로드리게즈,1,['페르디난드']
11,10000222,가엘 가르시아 베르날,2,"['코코', '올드']"
12,10027582,앤서니 곤잘레스,1,['코코']
13,10031239,벤자민 브랫,1,['코코']
14,10055626,이병헌,4,"['그것만이 내 세상', '백두산', '남산의 부장들', '비상선언']"
15,10054391,윤여정,4,"['그것만이 내 세상', '지푸라기라도 잡고 싶은 짐승들', '찬실이는 복도 많지', '미나리']"
16,20110693,박정민,10,"['그것만이 내 세상', '염력', '변산', '사바하', '타짜: 원 아이드 잭', '시동', '다만 악에서 구하소서', '다만 악에서 구하소서 파이널컷', '기적', '헤어질 결심']"
17,10087751,한지민,6,"['그것만이 내 세상', '허스토리', '미쓰백', '김복동', '조제', '해피 뉴 이어']"
18,10004577,김성령,3,"['그것만이 내 세상', '독전', '독전: 익스텐디드 컷']"
19,20297929,이주영,10,"['그것만이 내 세상', '그것만이 내 세상', '독전', '독전', '미쓰백', '조제', '아무도 없는 곳', '보이스', '윤시내가 사라졌다', '비상선언']"
20,20231368,최리,3,"['그것만이 내 세상', '소리꾼', '여고괴담 여섯번째 이야기 : 모교']"
21,20195029,이가경,16,"['그것만이 내 세상', '인랑', '뺑반', '기묘한 가족', '돈', '블랙머니', '블랙머니', '아내를 죽였다', '해치지않아', '헌트', '오케이 마담', '내가 죽던 날', '특송', '공기살인', '브로커', '대무가']"
22,20313673,이상준,1,['그것만이 내 세상']
23,20313704,박현주,1,['그것만이 내 세상']
24,20289623,이소정,1,['그것만이 내 세상']
25,20196179,이정호,2,"['그것만이 내 세상', '독전']"
26,20314641,이종승,1,['그것만이 내 세상']
27,20314648,이준석,1,['그것만이 내 세상']
28,20291839,안성봉,24,"['그것만이 내 세상', '독전', '인랑', '협상', '명당', 'PMC: 더 벙커', '극한직업', '뺑반', '증인', '걸캅스', '악인전', '기생충', '비스트', '나쁜 녀석들: 더 무비', '나쁜 녀석들: 더 무비', '해치지않아', '히트맨', '미스터 주: 사라진 VIP', '싱크홀', '유체이탈자', '헤어질 결심', '한산: 용의 출현', '올빼미', '한산 리덕스']"
29,20316352,박상훈,3,"['그것만이 내 세상', '신의 한 수: 귀수편', '경관의 피']"
30,20316423,박성훈,2,"['그것만이 내 세상', '결백']"
31,20316454,박소은,4,"['그것만이 내 세상', '사자', '소리꾼', '애비규환']"
32,20182448,장혜리,2,"['그것만이 내 세상', '돌멩이']"
33,20316885,정승환,1,['그것만이 내 세상']
34,20137023,박지연,6,"['그것만이 내 세상', '그것만이 내 세상', '챔피언', '챔피언', '더 펜션', '더 펜션']"
35,20111145,박지연,8,"['그것만이 내 세상', '그것만이 내 세상', '챔피언', '챔피언', '더 펜션', '더 펜션', '돌멩이', '미션 파서블']"
36,20186167,박지훈,5,"['그것만이 내 세상', '그것만이 내 세상', '협상', '성난황소', '백두산']"
37,20288301,조윤주,1,['그것만이 내 세상']
38,20172100,김동규,8,"['그것만이 내 세상', '치즈인더트랩', '명당', '여곡성', '도어락', '봉오동 전투', '유열의 음악앨범', '오! 문희']"
39,20306149,김민주,2,"['그것만이 내 세상', '죄 많은 소녀']"
40,20110159,김유진,9,"['그것만이 내 세상', '여중생A', '속닥속닥', '협상', '기방도령', '봉오동 전투', '나쁜 녀석들: 더 무비', '아내를 죽였다', '천문: 하늘에 묻는다']"
41,20332862,정윤하,12,"['그것만이 내 세상', '내안의 그놈', '변신', '광대들: 풍문조작단', '백두산', '#아이엠히어', '싱크홀', '장르만 로맨스', '유체이탈자', '비상선언', '공조2: 인터내셔날', '자백']"
42,20333335,오혜원,3,"['그것만이 내 세상', '타짜: 원 아이드 잭', '#살아있다']"
43,20341054,류제승,4,"['그것만이 내 세상', '신과함께-인과 연', '시동', '내가 죽던 날']"
44,20336047,권귀빈,6,"['그것만이 내 세상', '사바하', '벌새', '82년생 김지영', '종이꽃', '니 부모 얼굴이 보고 싶다']"
45,20066616,백현진,7,"['그것만이 내 세상', '변산', '상류사회', '삼진그룹 영어토익반', '경관의 피', '브로커', '고속도로 가족']"
46,20111220,유정호,13,"['그것만이 내 세상', '궁합', '버닝', '죄 많은 소녀', '난폭한 기록', '타짜: 원 아이드 잭', '타짜: 원 아이드 잭', '양자물리학', '해치지않아', '남산의 부장들', '이웃사촌', '방법: 재차의', '보이스']"
47,20338367,김서원,6,"['그것만이 내 세상', '골든슬럼버', '그대 이름은 장미', '우상', '나의 특별한 형제', '돌멩이']"
48,10004308,김병춘,5,"['그것만이 내 세상', '비스트', '소리꾼', '스웨그', '강릉']"
49,20315316,김현정,3,"['그것만이 내 세상', '흥부: 글로 세상을 바꾼 자', '장르만 로맨스']"
50,20338130,김상욱,10,"['그것만이 내 세상', '흥부: 글로 세상을 바꾼 자', '상류사회', '돈', '나쁜 녀석들: 더 무비', '결백', '강철비2: 정상회담', '경관의 피', '범죄도시2', '올빼미']"
51,10025511,맷 데이먼,4,"['다운사이징', '포드 V 페라리', '스틸워터', '라스트 듀얼: 최후의 결투']"
52,10077417,크리스틴 위그,2,"['다운사이징', '원더 우먼 1984']"
53,10077744,크리스토프 왈츠,2,"['다운사이징', '알리타: 배틀 엔젤']"
54,20114852,제이슨 서디키스,2,"['다운사이징', '앵그리 버드 2: 독수리 왕국의 침공']"
55,10090971,히로세 스즈,4,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '라플라스의 마녀', '루팡 3세: 더 퍼스트', '라스트 레터']"
56,20270249,스다 마사키,4,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '양지의 그녀', '꽃다발 같은 사랑을 했다', '실: 인연의 시작']"
57,10027360,미야노 마모루,6,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '문호 스트레이독스 [데드 애플]', '극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람', '극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람', '프리! 더 파이널 스트로크 전편', '프리! 더 파이널 스트로크 후편']"
58,10019472,딜런 오브라이언,2,"['메이즈 러너: 데스 큐어', '플래시백']"
59,10080483,토마스 생스터,1,['메이즈 러너: 데스 큐어']
60,10073877,카야 스코델라리오,3,"['메이즈 러너: 데스 큐어', '크롤', '레지던트 이블: 라쿤시티']"
61,20215846,이기홍,1,['메이즈 러너: 데스 큐어']
62,10001200,게리 올드만,5,"['다키스트 아워', '헌터 킬러', '레옹 디 오리지널', '맹크', '크라이시스']"
63,10077996,크리스틴 스콧 토마스,2,"['다키스트 아워', '툼레이더']"
64,10060784,릴리 제임스,3,"['다키스트 아워', '맘마미아!2', '예스터데이']"
65,10031120,벤 멘델슨,5,"['다키스트 아워', '레디 플레이어 원', '후드', '캡틴 마블', '베이비티스']"
66,10039309,스티븐 딜레인,2,"['다키스트 아워', '프로페서 앤 매드맨']"
67,10054654,은지원,1,['젝스키스 에이틴']
68,20296671,이재진,1,['젝스키스 에이틴']
69,20296566,장수원,1,['젝스키스 에이틴']
70,20296567,김재덕,1,['젝스키스 에이틴']
71,20296565,강성훈,1,['젝스키스 에이틴']
72,10050125,사쿠라 아야네,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '뱅드림! 필름 라이브 세컨드 스테이지', '극장판 5등분의 신부']"
73,20293001,미나세 이노리,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아', '극장판 5등분의 신부']"
74,10079012,타네다 리사,1,['주문은 토끼입니까?? ~디어 마이 시스터~']
75,20293003,사토 사토미,1,['주문은 토끼입니까?? ~디어 마이 시스터~']
76,20293051,우치다 마아야,2,"['주문은 토끼입니까?? ~디어 마이 시스터~', '중2병이라도 사랑이 하고 싶어! 테이크 온 미']"
77,20214706,토쿠이 소라,1,['주문은 토끼입니까?? ~디어 마이 시스터~']
78,20293052,무라카와 리에,1,['주문은 토끼입니까?? ~디어 마이 시스터~']
79,10087022,하야미 사오리,2,"['주문은 토끼입니까?? ~디어 마이 시스터~', '극장판 도라에몽: 진구의 보물섬']"
80,10073878,카야노 아이,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '마징가 Z: 인피니티', '걸즈 앤 판처 최종장']"
81,20368701,박시윤,6,"['리틀 뱀파이어', '신비아파트 극장판 하늘도깨비 대 요르문간드', '극장판 천재 추리 탐정 셜록홈즈', '특수요원 빼꼼', '빅샤크4: 바다공룡 대모험', '몬스터 신부: 101번째 프로포즈']"
82,20373896,김용,4,"['리틀 뱀파이어', '극장판 천재 추리 탐정 셜록홈즈', '몬스터 아카데미', '빅샤크4: 바다공룡 대모험']"
83,20180563,최정현,5,"['리틀 뱀파이어', '캡틴 샤키', '프린스 코기', '몬스터 아카데미', '몬스터 신부: 101번째 프로포즈']"
84,20303469,장병관,6,"['리틀 뱀파이어', '매직빈', '벅스 프렌즈', '빅샤크: 매직체인지', '빅샤크2: 해저2만리', '특수요원 빼꼼']"
85,10070989,짐 카터,2,"['리틀 뱀파이어', '굿 라이어']"
86,20176881,라스무스 하디커,1,['리틀 뱀파이어']
87,10081873,팀 피곳 스미스,1,['리틀 뱀파이어']
88,10019770,리암 니슨,9,"['커뮤터', '콜드 체이싱', '맨 인 블랙: 인터내셔널', '킹덤 오브 헤븐: 디렉터스 컷', '어니스트 씨프', '마크맨', '아이스 로드', '메이드 인 이태리', '블랙라이트']"
89,10030781,베라 파미가,4,"['커뮤터', '고질라: 킹 오브 몬스터', '애나벨 집으로', '컨저링3: 악마가 시켰다']"
90,10082678,패트릭 윌슨,6,"['커뮤터', '아쿠아맨', '애나벨 집으로', '미드웨이', '컨저링3: 악마가 시켰다', '문폴']"
91,10034941,샘 닐,5,"['커뮤터', '피터 래빗', '라라걸', '완벽한 가족', '쥬라기 월드: 도미니언']"
92,10004396,김상경,4,"['1급기밀', '궁합', '사라진 밤', '공기살인']"
93,10005064,김옥빈,1,['1급기밀']
94,10072210,최무성,7,"['1급기밀', '항거:유관순 이야기', '롱 리브 더 킹: 목포 영웅', '뜨거운 피', '배니싱: 미제사건', '올빼미', '탄생']"
95,20115207,최귀화,7,"['1급기밀', '말모이', '롱 리브 더 킹: 목포 영웅', '기방도령', '광대들: 풍문조작단', '범죄도시2', '늑대사냥']"
96,10004305,김병철,2,"['1급기밀', '이웃사촌']"
97,10072103,최고,2,"['1급기밀', '어쩌다, 결혼']"
98,20199635,이지원,2,"['1급기밀', '히트맨']"
99,20221406,서현우,19,"['1급기밀', '사라진 밤', '7년의 밤', '독전', '죄 많은 소녀', '배심원들', '난폭한 기록', '난폭한 기록', '나를 찾아줘', '백두산', '해치지않아', '남산의 부장들', '침입자', '새해전야', '혼자 사는 사람들', '괴기맨숀', '유체이탈자', '헤어질 결심', '정직한 후보2']"
100,20195568,이상철,3,"['1급기밀', '번개맨의 비밀', '번개맨의 비밀']"
101,20195903,이승훈,11,"['1급기밀', '공작', '해피 투게더', '여곡성', '걸캅스', '악인전', '니 부모 얼굴이 보고 싶다', '카시오페아', '공조2: 인터내셔날', '늑대사냥', '탄생']"
102,20254941,이윤혁,1,['1급기밀']
103,20314910,신윤정,2,"['1급기밀', '정직한 후보2']"
104,20315031,김태민,1,['1급기밀']
105,20315935,유영호,1,['1급기밀']
106,20317669,최보연,1,['1급기밀']
107,20196427,김민정,1,['1급기밀']
108,20318953,김성진,1,['1급기밀']
109,20165223,김우진,3,"['1급기밀', '골든슬럼버', '인랑']"
110,10004180,김민기,1,['1급기밀']
111,20143709,권태원,2,"['1급기밀', '마녀']"
112,20375411,김성민,1,['1급기밀']
113,10029093,박인환,4,"['비밥바룰라', '기묘한 가족', '엑시트', '킹메이커']"
114,10040262,신구,2,"['비밥바룰라', '천문: 하늘에 묻는다']"
115,10058908,임현식,1,['비밥바룰라']
116,20289229,윤덕용,2,"['비밥바룰라', '세자매']"
117,10005410,김인권,7,"['비밥바룰라', '물괴', '배반의 장미', '다시, 봄', '장사리 : 잊혀진 영웅들', '방법: 재차의', '올빼미']"
118,10057698,이채은,5,"['비밥바룰라', '증인', '어쩌다, 결혼', '가장 보통의 연애', '야구소녀']"
119,10057015,이나라,5,"['비밥바룰라', '살인소설', '어린 의뢰인', '블랙머니', '니 부모 얼굴이 보고 싶다']"
120,10072327,최선자,4,"['비밥바룰라', '니 부모 얼굴이 보고 싶다', '룸 쉐어링', '헤어질 결심']"
