"","peopleNm","max_audiAcc","mean_audiAcc"
"1","D.J. 카루소",2566,2566
"2","F. 게리 그레이",847087,847087
"3","J 블레이크슨",8060,8060
"4","J.J. 에이브럼스",74338,74338
"5","M. 나이트 샤말란",99238,85839
"6","M.J. 버세트",3354,3354
"7","P.B. 셰므란",8870,8870
"8","가브리엘 세블로프",1024,1024
"9","가스 데이비스",7976,7976
"10","가스 제닝스",877349,877349
"11","가이 리치",9902140,3355741
"12","갈리나 미클리노바",2415,2415
"13","강대규",982519,982519
"14","강동헌",9662,9662
"15","강승훈",76980,76980
"16","강유선",35256,35256
"17","강윤성",974119,974119
"18","강지은",93471,93471
"19","강태호",1640,1640
"20","강형철",974206,974206
"21","강효진",953925,953925
"22","개빈 후드",2714,2714
"23","게리 도버먼",78559,78559
"24","게리 로스",960709,960709
"25","게리 왕",18217,18217
"26","게일 맨쿠소",7182,7182
"27","고경민",47325,47325
"28","고레에다 히로카즈",986356,334691.666666667
"29","고영재",9213,9213
"30","고정욱",79257,79257
"31","고훈",6021,6021
"32","곽경택",966517,966517
"33","곽재용",72506,72506
"34","곽정",7494,7494
"35","관후",9226,9226
"36","구로사와 기요시",9668,7681.5
"37","구수환",7291,7291
"38","구스 반 산트",5449,5449
"39","구스타브 몰러",8426,8426
"40","구예도",1881,1881
"41","구파도",9576,9576
"42","권명국",8310,8310
"43","권성모",8845,8845
"44","권수경",95349,95349
"45","권오광",702780,702780
"46","권오승",98633,98633
"47","그레타 거윅",96346,91185.5
"48","그렉 티어넌",92845,49089.5
"49","기예르모 델 토로",57634,33206
"50","기타무라 류헤이",926,926
"51","길 정거",850,850
"52","김경원",79699,79699
"53","김곡",986723,986723
"54","김광빈",992813,992813
"55","김광식",926149,926149
"56","김대웅",9262,9262
"57","김도영",8803,8803
"58","김록경",9072,9072
"59","김민섭",9193,9193
"60","김민호",921018,921018
"61","김범삼",514,514
"62","김병갑",76405,76405
"63","김병서",882485,882485
"64","김병우",777691,777691
"65","김보라",95329,95329
"66","김봉한",86468,86468
"67","김상철",39120,39120
"68","김석윤",965445,965445
"69","김선",986723,986723
"70","김선웅",1167,1167
"71","김선형",8961,8961
"72","김성기",53500,53500
"73","김성민",3841,3841
"74","김성수",6083,6083
"75","김성훈",8604,8604
"76","김수경",6036,6036
"77","김수정",53625,53625
"78","김승우",635208,635208
"79","김오안",5891,5891
"80","김용완",954070,526157.5
"81","김용화",9860189,9860189
"82","김용훈",85670,85670
"83","김우석",762,762
"84","김유성",73250,73250
"85","김윤석",98037,98037
"86","김의석",10995,10995
"87","김의성",36895,36895
"88","김재환",31472,31472
"89","김재희",18142,18142
"90","김정권",9511,9511
"91","김정민",2554,2554
"92","김정식",8839,8839
"93","김정영",1495,1495
"94","김정은",6619,6619
"95","김정인",34118,34118
"96","김정환",7878,7878
"97","김정훈",956471,956471
"98","김제영",78766,78766
"99","김조광수",1794,1794
"100","김종관",94035,51403.5
"101","김주호",88515,88515
"102","김주환",961458,961458
"103","김지열",4597,4597
"104","김지영",9837,8851
"105","김지운",893165,893165
"106","김지한",8565,8565
"107","김지혜",8646,8646
"108","김지훈",922343,495618.5
"109","김진묵",47045,47045
"110","김진영",6430,4413
"111","김진원",99130,99130
"112","김진철",854230,333355.333333333
"113","김진화",784,784
"114","김창석",259,259
"115","김창주",96693,96693
"116","김초희",17236,17236
"117","김태균",8921,8921
"118","김태윤",596669,596669
"119","김태훈",966517,966517
"120","김하라",97564,97564
"121","김한결",847497,847497
"122","김한민",953523,480903.5
"123","김현탁",8081,8081
"124","김현호",752508,752508
"125","김형기",1100,1100
"126","김형주",74476,74476
"127","김혜미",1295,1295
"128","김호락",9839,9839
"129","김홍선",939871,510796
"130","김희성",9788,9788
"131","김희정",9847,9847
"132","나가미네 타츠야",8111,8111
"133","나가사키 켄지",45752,25122
"134","나가오카 치카",98823,91454.5
"135","나가이 아키라",3454,3454
"136","나가이 타츠유키",9593,9593
"137","나딘 라바키",96692,96692
"138","나봇 파푸샤도",33773,33773
"139","나카노 료타",5298,5298
"140","나카자와 쇼지로",18318,18318
"141","나탄 그로스만",260,260
"142","남대중",7639,7639
"143","남연우",7855,7855
"144","내쉬 에드게톤",6962,6962
"145","노구치 테루오",550,550
"146","노규엽",73029,73029
"147","노동석",982631,982631
"148","노아 바움백",9615,9615
"149","노엘 클리어리",9052,9052
"150","니사 하디만",8431,8431
"151","니샤 가나트라",47844,47844
"152","니시타니 히로시",3629,3629
"153","니아 다코스타",48799,48799
"154","니콜라스 베도스",8591,8591
"155","니콜라스 자렉키",1050,1050
"156","니콜라이 퓰시",96156,96156
"157","니키 카로",58322,58322
"158","니테쉬 티와리",97632,97632
"159","닉 파크",95889,95889
"160","닐 나이팅게일",8838,8838
"161","닐 마샬",98479,98479
"162","닐 버거",39503,23378
"163","닐 조단",40579,40579
"164","닛타 노리오",45640,45640
"165","다니스 고렛",821,821
"166","다니엘 쉐이너트",99642,54153
"167","다니엘 스탬",67906,67906
"168","다니엘 에스피노사",69327,69327
"169","다니엘 콴",99642,54153
"170","다니엘 패런즈",1014,1014
"171","다닐라 코즈로브스키",9016,9016
"172","다비드 알로",35403,35403
"173","당계례",5422,5422
"174","대니 보일",80287,80287
"175","대런 린 보우즈만",96332,96332
"176","대몽영",8248,8248
"177","댄 스캔론",687,687
"178","더그 라이만",99826,99826
"179","데니스 위드미어",92642,92642
"180","데렉 후이",860,860
"181","데릭 보트",99569,99569
"182","데스틴 다니엘 크리튼",978939,978939
"183","데이미언 셔젤",73269,73269
"184","데이브 프랑코",9427,9427
"185","데이비드 F. 샌드버그",89996,89996
"186","데이비드 미쇼",8394,8394
"187","데이비드 에이어",8605,8605
"188","데이비드 하인즈",7502,7502
"189","데이빗 P.스미스",99410,99410
"190","데이빗 고든 그린",95692,95692
"191","데이빗 레이치",940881,645966.333333333
"192","데이빗 로워리",9049,9049
"193","데이빗 야로베스키",86982,86982
"194","데이빗 예이츠",928405,828499.5
"195","데이빗 핀처",1246,1246
"196","덱스터 플레처",99829,99829
"197","도노반 마시",6198,6198
"198","도미닉 쿡",62028,33788.5
"199","도이 노부히로",9733,9733
"200","돈 홀",97808,87270.5
"201","두정철",2551,2551
"202","드니 데르쿠르",8066,8066
"203","드니 빌뇌브",999715,999715
"204","드레이크 도리머스",8186,8186
"205","드로르 자하비",4230,4230
"206","드류 피어스",76432,76432
"207","등위봉",29414,29414
"208","딘 데블로이스",980143,980143
"209","딜런 브라운",86468,86468
"210","딩 스",30713,30713
"211","라나 워쇼스키",80959,80959
"212","라세 할스트롬",73240,41102
"213","라스 클리브버그",57218,30349.5
"214","라스무스 A. 실버르센",9340,7249
"215","라이언 머피",8045,8045
"216","라이언 존슨",798920,798920
"217","라이언 쿠글러",792874,713179
"218","라이언 플렉",774452,774452
"219","라지브 칠라카",8464,8464
"220","라파엘 리바스",8030,8030
"221","레반 아킨",4183,4183
"222","레오스 카락스",6426,6426
"223","레오폴도 아귈라",14098,14098
"224","레이날도 마르쿠스 그린",7067,7067
"225","레이첼 그리피스",7729,7729
"226","로도 사야구에즈",77146,77146
"227","로드 루리",8275,8275
"228","로드니 로스맨",92159,92159
"229","로렌 스카파리아",42725,42725
"230","로버트 렌스",82686,82686
"231","로버트 로드리게즈",9310,9310
"232","로버트 로렌즈",9303,9303
"233","로버트 코놀리",4414,4414
"234","로버트 페르난데스",94230,94230
"235","로비 마이클",1110,1110
"236","로스 베노커",9781,9781
"237","로슨 마샬 터버",996099,996099
"238","로아 우타우",60369,60369
"239","로이 안데르손",1945,1945
"240","로저 미첼",8634,8634
"241","로저 컴블",6034,6034
"242","론 쉐르픽",7409,7409
"243","론 스캘펠로",1136,1136
"244","론 하워드",84695,84695
"245","롤랜드 에머리히",957894,505377
"246","롭 레터맨",681635,681635
"247","롭 마샬",93511,93511
"248","롭 새비지",8574,8574
"249","롭 코헨",63480,63480
"250","루벤 외스틀룬드",6477,6477
"251","루벤 플레셔",922666,578833
"252","루이 클리시",10707,10707
"253","루카 구아다니노",99300,46610.6666666667
"254","루카스 돈트",796,796
"255","루카스 퀴아오",9413,9413
"256","루퍼트 굴드",84956,84956
"257","룰루 왕",8692,8692
"258","뤽 다르덴",834,834
"259","뤽 베송",88157,47901.5
