"","companyNm","mean_audiAcc"
"1"," 아슬란필름",7831
"2","(사)그라시아스합창단",600
"3","(유)안녕하세요",9639
"4","(유)영화사 화수분",6247
"5","(유)조이앤시네마",53562.3035714286
"6","(유)헤이데이웍스",6247
"7","(재)CBS",57929.4
"8","(재)서울예술단",9558
"9","(주) 루스이소니도스",9756
"10","(주)26컴퍼니",321437
"11","(주)302플래닛",5934
"12","(주)51k",19549.2
"13","(주)KNN",11812
"14","(주)강철필름",9511
"15","(주)고고스튜디오",8301.5
"16","(주)고맙습니다 사랑합니다",713
"17","(주)고스트픽처스",921
"18","(주)고집스튜디오",3593.5
"19","(주)골든스토리픽처스",7878
"20","(주)그노스",59397
"21","(주)그래그거",1167
"22","(주)글로빅엔터테인먼트",4676.5
"23","(주)기억속의매미",9487
"24","(주)까멜리아이엔티",26226.5
"25","(주)나우콘텐츠",9632
"26","(주)나이너스엔터테인먼트",2415
"27","(주)나인플래너스",6565.33333333333
"28","(주)넥스트엔터테인먼트월드(NEW)",291606.838709677
"29","(주)넥스트월드",356075.666666667
"30","(주)노던크로스",833226
"31","(주)노바미디어",54153
"32","(주)노시스컴퍼니",74476
"33","(주)누리픽쳐스",83349.4444444444
"34","(주)다나크리에이티브",939871
"35","(주)다날엔터테인먼트",30983.3333333333
"36","(주)다니필름",62077
"37","(주)다자인소프트",17360.8333333333
"38","(주)달빛공장",4300.33333333333
"39","(주)대교 미디어콘텐츠사업본부",26912.25
"40","(주)대명문화공장",47544
"41","(주)더 재미",1100
"42","(주)더 피플",31472
"43","(주)더블앤조이픽쳐스",471303
"44","(주)더블유픽처스",926769
"45","(주)더세컨드웨이브",10267
"46","(주)더쿱디스트리뷰션",54153
"47","(주)더타워픽쳐스",495618.5
"48","(주)데이드림엔터테인먼트",208540
"49","(주)덱스터스튜디오",2935720.25
"50","(주)도서관옆스튜디오",495379.5
"51","(주)도어이앤엠",5598.5
"52","(주)도키엔터테인먼트",4973.6
"53","(주)돈키호테엔터테인먼트",6930
"54","(주)드림써치C&C",545789
"55","(주)드림팩트엔터테인먼트",10576.1666666667
