companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
20230136,미디어톡,,제작사,유정현,소녀작가 입문기
20124975,(주)미디어톡,,제작사,유정현,
20203841,원더필름,,제작사,윤서영,숨비소리
20230135,미디어나무(주),MediaNamu. Inc,"제작사,배급사",김성환,"수라,오늘 출가합니다,졸업"
20230134,SDM스튜디오 ,,,,소원을 빨아봐
20230281,(주)억만장자픽처스,,"배급사,수입사","우지만, 김대억",
20230133,빅뱅컨텐츠(주),,제작사,김용덕,
20230261,(주)더블몬스터즈,Double Monsters Inc.,"제작사,배급사",이광범,
20187481,엠에스케이컨텐츠,,제작사,최명효,"2퍼센트,원죄"
20061701,(주)에스아이미디어그룹,,제작사,정종인,
20125155,(주)엘지유플러스,,"제작사,배급사,수입사,부가시장",이용재,"드래곤 라이더,필름스타 인 리버풀,커뮤터,기억의 밤,슬립리스: 크리미널 나이트,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,스킵트레이스: 합동수사,몽 루아,셜록: 유령신부,더 기프트,미쓰 와이프,미스터 앙리와의 조금(?!) 특별한 동거,어 워: 라스트 미션,얼굴도둑,첫경험만 8번째,제 7기사단,베스트 오브 미,이미테이션 게임,캐치헬,아메리칸 저스티스,제보자,위키드 블러드,블러드 리벤지,왓 이프,애프터 파티,침입자들 : 로봇의 역습,라스트 에너미,에비던스,오피서 다운,테러라인,섹슈얼 컴펄전,히든서스펙트,크레이브,파이터: 죽음의 토너먼트,와이 스톱 나우,세븐 싸이코패스,러브레이스,스트레인저 인사이드,쉐프,디 엔드: 인류 최후의 날,모터웨이: 분노의 질주,카지노를 털어라,더 샤이닝 2012 ,퍼즐러브,도노반스 에코,위기의 남자들,트러블 위드 블리스,건,파이어 : 테러와의 전쟁"
20230241,(주)고남동,,,,낭만 캠퍼스
20230132,뉴크마그(주),newkmag,"제작사,배급사,수입사",오금이,
20230141,케이씨벤처스 주식회사,,제공,김승현,댓글부대(가제)
