"","peopleNm","Freq"
"1","D.J. 카루소",1
"2","F. 게리 그레이",1
"3","J 블레이크슨",1
"4","J.J. 에이브럼스",1
"5","M. 나이트 샤말란",2
"6","M.J. 버세트",1
"7","P.B. 셰므란",1
"8","가브리엘 세블로프",1
"9","가스 데이비스",1
"10","가스 제닝스",1
"11","가이 리치",3
"12","갈리나 미클리노바",1
"13","강대규",1
"14","강동헌",1
"15","강승훈",1
"16","강유선",1
"17","강윤성",1
"18","강지은",1
"19","강태호",1
"20","강형철",1
"21","강효진",1
"22","개빈 후드",1
"23","게리 도버먼",1
"24","게리 로스",1
"25","게리 왕",1
"26","게일 맨쿠소",1
"27","고경민",1
"28","고레에다 히로카즈",3
"29","고영재",1
"30","고정욱",1
"31","고훈",1
"32","곽경택",1
"33","곽재용",1
"34","곽정",1
"35","관후",1
"36","구로사와 기요시",2
"37","구수환",1
"38","구스 반 산트",1
"39","구스타브 몰러",1
"40","구예도",1
"41","구파도",1
"42","권명국",1
"43","권성모",1
"44","권수경",1
"45","권오광",1
"46","권오승",1
"47","그레타 거윅",2
"48","그렉 티어넌",2
"49","기예르모 델 토로",2
"50","기타무라 류헤이",1
"51","길 정거",1
"52","김경원",1
"53","김곡",1
"54","김광빈",1
"55","김광식",1
"56","김대웅",1
"57","김도영",1
"58","김록경",1
"59","김민섭",1
"60","김민호",1
"61","김범삼",1
"62","김병갑",1
"63","김병서",1
"64","김병우",1
"65","김보라",1
"66","김봉한",1
"67","김상철",1
"68","김석윤",1
"69","김선",1
"70","김선웅",1
"71","김선형",1
"72","김성기",1
"73","김성민",1
"74","김성수",1
"75","김성훈",1
"76","김수경",1
"77","김수정",1
"78","김승우",1
"79","김오안",1
"80","김용완",2
"81","김용화",1
"82","김용훈",1
"83","김우석",1
"84","김유성",1
"85","김윤석",1
"86","김의석",1
"87","김의성",1
"88","김재환",1
"89","김재희",1
"90","김정권",1
"91","김정민",1
"92","김정식",1
"93","김정영",1
"94","김정은",1
"95","김정인",1
"96","김정환",1
"97","김정훈",1
"98","김제영",1
"99","김조광수",1
"100","김종관",2
"101","김주호",1
"102","김주환",1
"103","김지열",1
"104","김지영",2
"105","김지운",1
"106","김지한",1
"107","김지혜",1
"108","김지훈",2
"109","김진묵",1
"110","김진영",2
"111","김진원",1
"112","김진철",3
"113","김진화",1
"114","김창석",1
"115","김창주",1
"116","김초희",1
"117","김태균",1
"118","김태윤",1
"119","김태훈",1
"120","김하라",1
"121","김한결",1
"122","김한민",2
"123","김현탁",1
"124","김현호",2
"125","김형기",1
"126","김형주",1
"127","김혜미",1
"128","김호락",1
"129","김홍선",2
"130","김희성",1
"131","김희정",1
"132","나가미네 타츠야",1
"133","나가사키 켄지",2
"134","나가오카 치카",2
"135","나가이 아키라",1
"136","나가이 타츠유키",1
"137","나딘 라바키",1
"138","나봇 파푸샤도",1
"139","나카노 료타",1
"140","나카자와 쇼지로",1
"141","나탄 그로스만",1
"142","남대중",1
"143","남연우",1
"144","내쉬 에드게톤",1
"145","노구치 테루오",1
"146","노규엽",1
"147","노동석",1
"148","노아 바움백",1
"149","노엘 클리어리",1
"150","니사 하디만",1
"151","니샤 가나트라",1
"152","니시타니 히로시",1
"153","니아 다코스타",1
"154","니콜라스 베도스",1
"155","니콜라스 자렉키",1
"156","니콜라이 퓰시",1
"157","니키 카로",1
"158","니테쉬 티와리",1
"159","닉 파크",1
"160","닐 나이팅게일",1
"161","닐 마샬",1
"162","닐 버거",2
"163","닐 조단",1
"164","닛타 노리오",1
"165","다니스 고렛",1
"166","다니엘 쉐이너트",2
"167","다니엘 스탬",1
"168","다니엘 에스피노사",1
"169","다니엘 콴",2
"170","다니엘 패런즈",1
"171","다닐라 코즈로브스키",1
"172","다비드 알로",1
"173","당계례",1
"174","대니 보일",1
"175","대런 린 보우즈만",1
"176","대몽영",1
"177","댄 스캔론",1
"178","더그 라이만",1
"179","데니스 위드미어",1
"180","데렉 후이",1
"181","데릭 보트",1
"182","데스틴 다니엘 크리튼",1
"183","데이미언 셔젤",1
"184","데이브 프랑코",1
"185","데이비드 F. 샌드버그",1
"186","데이비드 미쇼",1
"187","데이비드 에이어",1
"188","데이비드 하인즈",1
"189","데이빗 P.스미스",1
"190","데이빗 고든 그린",1
"191","데이빗 레이치",3
"192","데이빗 로워리",1
"193","데이빗 야로베스키",1
"194","데이빗 예이츠",2
"195","데이빗 핀처",1
"196","덱스터 플레처",1
"197","도노반 마시",1
"198","도미닉 쿡",2
"199","도이 노부히로",1
"200","돈 홀",2
"201","두정철",1
"202","드니 데르쿠르",1
"203","드니 빌뇌브",1
"204","드레이크 도리머스",1
"205","드로르 자하비",1
"206","드류 피어스",1
"207","등위봉",1
"208","딘 데블로이스",1
"209","딜런 브라운",1
"210","딩 스",1
"211","라나 워쇼스키",1
"212","라세 할스트롬",2
"213","라스 클리브버그",2
"214","라스무스 A. 실버르센",2
"215","라이언 머피",1
"216","라이언 존슨",1
"217","라이언 쿠글러",2
"218","라이언 플렉",1
"219","라지브 칠라카",1
"220","라파엘 리바스",1
"221","레반 아킨",1
"222","레오스 카락스",1
"223","레오폴도 아귈라",1
"224","레이날도 마르쿠스 그린",1
"225","레이첼 그리피스",1
"226","로도 사야구에즈",1
"227","로드 루리",1
"228","로드니 로스맨",1
"229","로렌 스카파리아",1
"230","로버트 렌스",1
"231","로버트 로드리게즈",1
"232","로버트 로렌즈",1
"233","로버트 코놀리",1
"234","로버트 페르난데스",1
"235","로비 마이클",1
"236","로스 베노커",1
"237","로슨 마샬 터버",1
"238","로아 우타우",1
"239","로이 안데르손",1
"240","로저 미첼",1
"241","로저 컴블",1
"242","론 쉐르픽",1
"243","론 스캘펠로",1
"244","론 하워드",1
"245","롤랜드 에머리히",2
"246","롭 레터맨",1
"247","롭 마샬",1
"248","롭 새비지",1
"249","롭 코헨",1
"250","루벤 외스틀룬드",1
"251","루벤 플레셔",3
"252","루이 클리시",1
"253","루카 구아다니노",3
"254","루카스 돈트",1
"255","루카스 퀴아오",1
"256","루퍼트 굴드",1
"257","룰루 왕",1
"258","뤽 다르덴",1
"259","뤽 베송",2
"260","류승완",1
"261","류장하",1
"262","류정우",1
"263","리 다니엘스",1
"264","리 언크리치",1
"265","리 워넬",2
"266","리건",1
"267","리노 디살보",1
"268","리들리 스콧",4
"269","리사 조이",1
"270","리슬 타미",1
"271","리양우",1
"272","리차드 링클레이터",1
"273","리차드 이어",1
"274","리처드 라니",1
"275","리처드 클라우스",2
"276","리처드 펠런",1
"277","리치 무어",1
"278","릭 로먼 워",3
"279","린-마누엘 미란다",1
"280","린 사우더랜드",1
"281","마누엘 J. 가르시아",1
"282","마렉 베네슈",1
"283","마르잔 사트라피",1
"284","마르탱 부르불롱",1
"285","마리나 네페도바",1
"286","마리아 소달",1
"287","마리아 슈라더",1
"288","마이크 데블린",1
"289","마이크 미첼",1
"290","마이크 밀스",1
"291","마이크 플래너건",1
"292","마이클 노어",1
"293","마이클 도허티",1
"294","마이클 마키마인",1
"295","마이클 메이슨",1
"296","마이클 메일러",1
"297","마이클 베이",1
"298","마이클 수지",1
"299","마이클 슈왈츠",1
"300","마이클 알메레이다",1
"301","마이클 차베즈",2
"302","마츠모토 소우시",1
"303","마츠타니 미츠에",1
"304","마커스 하먼",1
"305","마크 J. 프란시스",1
"306","마크 먼든",1
"307","마크 미로드",1
"308","마크 스티븐 존슨",1
"309","마크 윌리엄스",2
"310","마크 포스터",1
"311","마키타 카오리",1
"312","마티아스 마르지유",1
"313","마틴 맥도나",1
"314","마틴 슈라이어",1
"315","마틴 스코세이지",1
"316","마틴 캠벨",2
"317","마틴 코틱",1
"318","막심 볼코브",1
"319","막심 파디브",1
"320","말콤 D. 리",1
"321","매니 에르난데스",1
"322","매튜 본",1
"323","맥스 바버카우",1
"324","맥스 퍼그",1
"325","맷 리브스",1
"326","모홍진",1
"327","문은주",1
"328","미겔 앙헬 비바스",1
"329","미미 레더",1
"330","미야자키 고로",1
"331","미이케 다카시",2
"332","미즈노 시게노리",1
"333","미즈시마 츠토무",2
"334","미츠나카 스스무",4
"335","미키 코이치로",1
"336","미키 타카히로",3
"337","민규동",1
"338","민환기",1
"339","바딤 피얼먼",1
"340","바실리 로벤스키",1
"341","바이론 하워드",1
"342","바즈 루어만",1
"343","박강아름",1
"344","박경목",1
"345","박규태",1
"346","박근영",1
"347","박기복",1
"348","박누리",1
"349","박대민",1
"350","박대원",1
"351","박동훈",1
"352","박루슬란",1
"353","박상용",1
"354","박상현",1
"355","박선주",1
"356","박성후",1
"357","박수진",1
"358","박영균",1
"359","박용집",1
"360","박이웅",1
"361","박재석",1
"362","박정배",1
"363","박제범",1
"364","박준수",3
"365","박지완",1
"366","박진영",1
"367","박찬욱",1
"368","박혜령",1
"369","박호찬",1
"370","박훈정",2
"371","박흥식",1
"372","박희곤",1
"373","반종 피산다나쿤",1
"374","발디마르 요한손",1
"375","발레리 페리스",1
"376","발타자르 코루마쿠르",2
"377","밥 퍼시케티",1
"378","방수인",1
"379","배종대",1
"380","백승환",2
"381","백재호",1
"382","베리 쿡",1
"383","벤 루윈",1
"384","벤 스타센",2
"385","벤 제틀린",1
"386","변규리",1
"387","변성현",1
"388","변영규",2
"389","변혁",1
"390","변희선",1
"391","볼프강 페터젠",1
"392","봉준영",1
"393","봉준호",1
"394","브라이언 싱어",1
"395","브라이언 핸슨",1
"396","브래드 버드",1
"397","브래드 페이튼",1
"398","브래들리 쿠퍼",1
"399","브리짓 부이요",1
"400","비나약 다스",1
"401","비보 베르즈롱",1
"402","비욘 룬게",1
"403","빅터 아즈에프",1
"404","빌 콘돈",1
"405","빌 홀더먼",1
"406","빌랄 팔라",1
"407","빔 벤더스",1
"408","사라 스미스",1
"409","사이먼 킨버그",2
"410","사준의",1
"411","사카키바라 모토노리",1
"412","사토 신스케",2
"413","샘 레빈",1
"414","샘 레이미",1
"415","샘 멘데스",1
"416","샤모",1
"417","서동일",1
"418","서럽 밴 오먼",1
"419","서유민",1
"420","서은영",2
"421","서정희",1
"422","서태수",1
"423","세드릭 클래피쉬",1
"424","세르지오 델피노",1
"425","세르지오 맨피오",1
"426","셀린 시아마",5
"427","션 베이커",1
