"","companyNm","Freq"
"1"," 아슬란필름",1
"2","(사)그라시아스합창단",1
"3","(유)안녕하세요",1
"4","(유)영화사 화수분",1
"5","(유)조이앤시네마",56
"6","(유)헤이데이웍스",1
"7","(재)CBS",5
"8","(재)서울예술단",1
"9","(주) 루스이소니도스",1
"10","(주)26컴퍼니",2
"11","(주)302플래닛",1
"12","(주)51k",10
"13","(주)KNN",1
"14","(주)강철필름",1
"15","(주)고고스튜디오",2
"16","(주)고맙습니다 사랑합니다",1
"17","(주)고스트픽처스",1
"18","(주)고집스튜디오",2
"19","(주)골든스토리픽처스",1
"20","(주)그노스",1
"21","(주)그래그거",1
"22","(주)글로빅엔터테인먼트",2
"23","(주)기억속의매미",1
"24","(주)까멜리아이엔티",4
"25","(주)나우콘텐츠",1
"26","(주)나이너스엔터테인먼트",1
"27","(주)나인플래너스",3
"28","(주)넥스트엔터테인먼트월드(NEW)",62
"29","(주)넥스트월드",3
"30","(주)노던크로스",1
"31","(주)노바미디어",2
"32","(주)노시스컴퍼니",1
"33","(주)누리픽쳐스",18
"34","(주)다나크리에이티브",1
"35","(주)다날엔터테인먼트",3
"36","(주)다니필름",1
"37","(주)다자인소프트",6
"38","(주)달빛공장",3
"39","(주)대교 미디어콘텐츠사업본부",4
"40","(주)대명문화공장",1
"41","(주)더 재미",1
"42","(주)더 피플",1
"43","(주)더블앤조이픽쳐스",2
"44","(주)더블유픽처스",1
"45","(주)더세컨드웨이브",2
"46","(주)더쿱디스트리뷰션",2
"47","(주)더타워픽쳐스",2
"48","(주)데이드림엔터테인먼트",3
"49","(주)덱스터스튜디오",4
"50","(주)도서관옆스튜디오",2
"51","(주)도어이앤엠",2
"52","(주)도키엔터테인먼트",5
"53","(주)돈키호테엔터테인먼트",1
"54","(주)드림써치C&C",1
"55","(주)드림팩트엔터테인먼트",6
"56","(주)디스테이션",41
"57","(주)디씨지플러스",4
"58","(주)디엔디픽쳐스",1
"59","(주)디엔와이",1
"60","(주)디오시네마",5
"61","(주)띵크",1
"62","(주)라라아비스",1
"63","(주)라온컴퍼니플러스",1
"64","(주)라이크콘텐츠",6
"65","(주)라임오렌지팩토리",1
"66","(주)레드로버",4
"67","(주)레드아이스 엔터테인먼트",2
"68","(주)레인메이커필름",1
"69","(주)레인보우팩토리",1
"70","(주)로드픽쳐스",1
"71","(주)로드하우스",1
"72","(주)로이비쥬얼",1
"73","(주)로커스",1
"74","(주)루이스 픽쳐스",2
"75","(주)률필름",1
"76","(주)리버픽쳐스",1
"77","(주)리틀빅픽쳐스",34
"78","(주)마노엔터테인먼트",2
"79","(주)마로스튜디오",1
"80","(주)마스터원엔터테인먼트",1
"81","(주)마운틴무브먼트스토리",1
"82","(주)마인드마크",2
"83","(주)마일스톤컴퍼니",1
"84","(주)맑은시네마",2
"85","(주)매그넘나인",1
"86","(주)맨필름",1
"87","(주)머스트씨무비릴리징컴퍼니",3
"88","(주)메리크리스마스",4
"89","(주)메이스엔터테인먼트",2
"90","(주)명필름",5
"91","(주)모꼬지",2
"92","(주)모인그룹",1
"93","(주)모토",3
"94","(주)모호필름",1
"95","(주)무비락",4
"96","(주)미디어모굴",1
"97","(주)미디어캐슬",15
"98","(주)미로비젼",1
"99","(주)미로스페이스",1
"100","(주)미루픽처스",1
"101","(주)미인픽쳐스",1
"102","(주)바른손",3
"103","(주)바른손이앤에이",1
"104","(주)바보들",1
"105","(주)바이포엠스튜디오",3
"106","(주)박수엔터테인먼트",36
"107","(주)발렌타인필름",1
"108","(주)발자국 공장",2
"109","(주)백그림",2
"110","(주)버킷스튜디오",14
"111","(주)베러투모로우",1
"112","(주)본팩토리",1
"113","(주)봄바람영화사",1
"114","(주)부영엔터테인먼트",1
"115","(주)브라더픽쳐스",1
"116","(주)브로콜리픽쳐스",1
"117","(주)블러썸픽쳐스",3
"118","(주)블루라벨픽쳐스",12
"119","(주)블루플랜잇",1
"120","(주)비리프",1
"121","(주)비싸이드 픽쳐스",1
"122","(주)비에이엔터테인먼트",11
