movieNm,audiAcc,scrnCnt,showCnt,genres,director_career_length,avg score,avg aud,movie_length,mean_actor_nummovie,max_actor_nummovie,main_actor_nummovie,openDt,directors,actors,company_names,director_prev_movie,director_tot_filmo,genre_드라마,genre_액션,genre_애니메이션,genre_코미디,genre_스릴러,genre_멜로/로맨스,genre_어드벤처,genre_범죄,genre_판타지,genre_공포(호러),genre_SF,genre_미스터리,genre_다큐멘터리,genre_가족,genre_뮤지컬,genre_전쟁,genre_사극,genre_공연,genre_기타,genre_서부극(웨스턴),genre_성인물(에로),max_audiAcc_director,mean_audiAcc_director,max_audiAcc_company,mean_audiAcc_company,movie_name_length,avgtemp,avgrn,PM10_mean,PM10_max,PM10_bad_days,PM25_mean,PM25_max,PM25_bad_days,nations
소리꾼,77414,240,349,"['사극', '드라마']",7.0,9.62,7720.0,118.0,2.7222222222222223,18.0,2.0,2020-07-01,['조정래'],"['이봉근', '이유리', '김하연', '박철민', '김동완', '한인수', '정무성', '임성철', '김병춘', '김강현', '박재민', '지태양', '김준형', '차정환', '김혁종', '류신', '김유나', '정인기', '오지혜', '송철호', '김병철', '임형태', '이나리', '송민경', '고수진', '문채영', '남상지', '최대성', '이지수', '구본진', '김시호', '김신광', '박신혜', '정순미', '정원형', '박소은', '정강홍', '정종욱', '정인', '이의수', '박종서', '정재환', '이은석', '임기향', '김민선', '황인우', '조홍우', '박정철', '박승원', '최용석', '엄   지', '이송미', '강민지', '장민성', '유태성', '김정원', '조진영', '김문현', '명라엘', '양하나', '전상협', '조아한', '류연영', '전준형', '김정환', '강성진', '전운종', '오진욱', '홍인아', '설윤지', '김시혜', '왕나경', '이시우', '임소현', '이단비', '오진희', '양주빈', '김강희', '이서아', '조혜리', '이주원', '최재정', '김수민', '김지현', '유한별', '노아림', '김동진', '임송택', '이현수', '김래윤', '이재혁', '이현석', '김진휘', '강학수', '윤석기', '고석진', '배정찬', '민현기', '박주현', '이승현', '노을', '장승연', '김윤정', '최설', '손진환', '한동규', '강성호', '신유람', '원태희', '조지승', '조아인', '이규혁', '이남균', '김명자', '안신권', '이채령', '구민혁', '이상희', '박원진', '박태산', '박종상', '이일규', '전희련', '정시연', '홍혜지', '김도훈', '박진수', '류경환', '진시원', '이은정', '정재훈', '현오봉', '박영덕', '박종범', '권현제', '윤준호', '고명일', '서호준', '한동원', '유서준', '정시후', '남승화', '이동욱', '이창원', '남태하', '이동기', '정동근', '구자건', '공현대', '조나단', '황재운', '이웅규', '김용민', '정현준', '김태환', '김수한', '신안식', '김병철', '박범기', '정태영', '변만후', '조한결', '안정호', '박동일', '임주영', '임정욱', '이태강', '윤진우', '신지우', '고창균', '김소리', '천선우', '김민준', '손숙', '최리', '이필모', '더   원', '조상기', '박근수', '최원석', '박가영', '노영완', '김호연', '박성진', '조윤상', '천영암', '정은지']","['주식회사 제이오엔터테인먼트코리아', '(주)리틀빅픽쳐스', '주식회사 제이오엔터테인먼트코리아', '(주)케이티알파']",['20184961'],"['20111416', '20157587', '20161364', '20171164', '20184961', '20196201', '20217688']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,77414.0,46236.5,983814.0,63195.99527310922,3,24.04642857,9.6,21.322530864197528,51.8,0,13.660123456790124,37.08,1,한국
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,151054,350,479,['애니메이션'],4.0,8.58,210000.0,103.0,10.2,18.0,13.0,2018-09-20,['우시로 신지'],"['여민정', '김지율', '홍범기', '신용우', '이호산']","['(주)씨제이이엔엠', '(주)씨제이이엔엠']",['20172142'],"['20137295', '20150501', '20172142', '20188304']",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,87949.0,87949.0,9989649.0,751483.0,24,16.33214286,4.410714286,22.73043209876543,60.08,0,11.257654320987651,36.56,1,그 외
램,13654,41,44,['공포(호러)'],1.0,7.1,15000.0,106.0,1.6666666666666667,3.0,3.0,2021-12-29,['발디마르 요한손'],"['누미 라파스', '힐미르 스나에르 구오나손', '비욘 흘리뉘르 하랄드손']","['오드', '오드']",['20218390'],['20218390'],False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8962.0,8962.0,95133.0,15295.0588235294,1,-2.453571429,0.153571429,42.77185185185185,117.4,2,27.98962962962964,93.36,6,그 외
잃어버린 세계를 찾아서,17510,268,331,"['애니메이션', '어드벤처']",2.0,8.1,10000.0,94.0,3.5,6.0,2.0,2019-10-09,['크리스 버틀러'],"['휴 잭맨', '조 샐다나', '자크 갈리피아나키스', '엠마 톰슨']","['(주)이수C&E', '주식회사 더쿱']",['20113917'],"['20113917', '20197691']",False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7746.0,7746.0,98836.0,25322.10173697272,12,15.03928571,0.064285714,37.39308258569128,98.04,2,17.791602637834522,39.72,1,미국
닥터 스트레인지: 대혼돈의 멀티버스,5882489,26,45,"['액션', '어드벤처', '판타지']",15.0,0.0,0.0,126.0,3.5,10.0,10.0,2022-05-04,['샘 레이미'],"['베네딕트 컴버배치', '엘리자베스 올슨', '베네딕트 웡', '레이첼 맥아담스', '치웨텔 에지오포', '소치틀 고메즈']","['월트디즈니컴퍼니코리아 유한책임회사', '월트디즈니컴퍼니코리아 유한책임회사']",['20199428'],"['19900353', '19920328', '19950169', '19950285', '19990314', '20000157', '20010170', '20020128', '20040491', '20070056', '20081080', '20090288', '20122625', '20199428', '20212855']",False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,716931.0,716931.0,9945756.0,1295178.73684211,19,19.65714286,0.267857143,32.571851851851854,68.08,0,16.64,42.24,1,미국
북클럽,9942,65,100,['코미디'],1.0,8.21,30000.0,103.0,1.3333333333333333,2.0,1.0,2019-06-20,['빌 홀더먼'],"['다이안 키튼', '제인 폰다', '앤디 가르시아', '메리 스틴버겐', '캔디스 버겐', '알리시아 실버스톤']","['(주)영화사 진진', '(주)영화사 진진']",['20191781'],['20191781'],False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9942.0,9942.0,39120.0,7635.33333333333,3,24.73214286,1.042857143,26.5553367003367,61.25,0,19.448703703703703,48.29166666666666,2,미국
82년생 김지영,3671152,166,229,['드라마'],43.0,8.55,1651.0,118.0,3.851851851851852,18.0,2.0,2019-10-23,['김도영'],"['이시영', '정유미', '공유', '김미경', '공민정', '박성연', '이봉련', '김성철', '이얼', '전국향', '박세현', '김미경', '손성찬', '강애심', '김정영', '예수정', '염혜란', '김해나', '어성욱', '권귀빈', '류아영', '김하연', '강별', '기소유', '이나윤', '유준후', '김용준', '이지혜', '우지현', '이성욱', '김지수', '윤서진', '김미지', '이재인', '이주원', '원춘규', '김해나', '정준', '김금순', '윤사봉', '정형석', '손규원', '신태양', '최희진', '박수진', '김국희', '정선아', '김선미', '이음', '이승용', '조백한', '오해주', '오일영', '우도임', '구재연', '정태성', '허태경', '권지수', '백효성', '김철진', '김규도', '김영표', '김성태', '김지우', '송윤', '이해운', '최수빈', '김남진', '김선혜', '조예린', '고재원', '천문정', '정선아', '김정원', '예수정', '염혜란', '주인영']","['(주)봄바람영화사', '롯데컬처웍스(주)롯데엔터테인먼트', '롯데컬처웍스(주)롯데엔터테인먼트', '롯데컬처웍스(주)롯데엔터테인먼트']","['20190465', '20185161']","['20020226', '20030117', '20040614', '20040785', '20060230', '20070042', '20070302', '20070587', '20070589', '20071067', '20080011', '20080435', '20081661', '20090022', '20090815', '20100057', '20110043', '20112695', '20113554', '20119627', '20127179', '20128687', '20129114', '20142402', '20144601', '20157145', '20173732', '20174344', '20183355', '20184537', '20190465', '20191029', '20156553', '20170941', '20178781', '20185161', '20191029', '20196718', '20200474', '20209627', '20218345', '20219628', '20223141']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8803.0,8803.0,9860189.0,542861.8520408163,8,10.52857143,2.742857143,42.23784755770263,98.04,2,19.07779119699409,39.72,1,한국
후쿠오카,3523,64,87,['드라마'],24.0,8.05,15000.0,85.0,6.5,12.0,12.0,2020-08-27,['장률'],"['권해효', '윤제문', '박소담', '야마모토 유키', '오세현', '문지영', '박현주', '홍수철']","['(주)률필름', '(주)률필름', '㈜인디스토리']",['20181086'],"['20018686', '20040800', '20060062', '20068951', '20070560', '20071053', '20071070', '20081570', '20100216', '20121086', '20130982', '20133641', '20137950', '20152064', '20156733', '20156739', '20156740', '20157218', '20158121', '20162541', '20181086', '20197032', '20211569', '20217387']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3523.0,3523.0,7167.0,4094.6666666666665,4,22.71071429,7.603571429,18.81925925925926,34.12,0,10.783703703703704,23.08,0,한국
에브리데이,26937,121,310,['멜로/로맨스'],3.0,8.25,230000.0,97.0,2.0,3.0,1.0,2018-10-11,['마이클 수지'],"['앵거리 라이스', '저스티스 스미스', '제이콥 배덜런', '오웬 티그', '루카스 제이드 주만']","['그린나래미디어(주)', '(주)홈초이스', '그린나래미디어(주)']",['20124874'],"['20098174', '20124874', '20188661']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7261.0,7261.0,967439.0,40731.59901960783,5,11.50357143,3.125,39.20906065485776,102.17391304347828,1,22.81946323134729,71.17391304347827,4,미국
명탐정 코난: 감청의 권,214485,74,81,['애니메이션'],2.0,9.08,230000.0,109.0,3.0,4.0,4.0,2019-07-24,['나가오카 치카'],"['타카야마 미나미', '야마자키 와카나', '코야마 리키야', '야마구치 캇페이']","['(주)씨제이이엔엠', '(주)씨제이이엔엠']",['20216710'],"['20192725', '20216710']",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,98823.0,91454.5,9989649.0,751483.0,13,27.85,10.475,21.972678475577023,39.4,0,14.386172839506171,29.32,0,그 외
그레이 맨,23646,39,61,"['액션', '스릴러']",8.0,7.56,120000.0,126.0,3.0,5.0,2.0,2022-07-13,"['안소니 루소', '조 루소']","['라이언 고슬링', '크리스 에반스', '아나 디 아르마스', '레게-장 페이지']",['씨제이 씨지브이(CJ CGV)(주)'],"['20191408', '20191408']","['20020009', '20068368', '20147790', '20159364', '20177478', '20184889', '20191408', '20224791', '20020009', '20068368', '20147790', '20159364', '20177478', '20184889', '20191408', '20224791']",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9843480.0,6345521.66666667,342366.0,42188.9615384615,5,27.175,17.86785714,22.444444444444443,34.72,0,14.164444444444442,24.52,0,미국
