,movie,score,audience,score_edited,aud_edited,avg score,avg aud
0,[],0,0,0,0,0.0,0.0
1,['에움길'],['9.62'],"['7,720명']",[9.62],[7720.0],9.62,7720.0
2,[],0,0,0,0,0.0,0.0
3,['극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!'],['8.58'],['21만명'],[8.58],[210000.0],8.58,210000.0
4,['수색'],['missing data'],['missing data'],0,0,0.0,0.0
5,['램'],['7.10'],['1.5만명'],[7.1],[15000.0],7.1,15000.0
6,['파라노만'],['8.10'],['1만명'],[8.1],[10000.0],8.1,10000.0
7,[],0,0,0,0,0.0,0.0
8,['크롤'],['missing data'],['missing data'],0,0,0.0,0.0
9,['북클럽'],['8.21'],['3만명'],[8.21],[30000.0],8.21,30000.0
10,"['욕창', '나를 찾아줘']","['8.55', 'missing data']","['1,651명', 'missing data']",[8.55],[1651.0],8.55,1651.0
11,['군산: 거위를 노래하다'],['8.05'],['1.5만명'],[8.05],[15000.0],8.05,15000.0
12,['서약'],['8.25'],['23만명'],[8.25],[230000.0],8.25,230000.0
13,['명탐정 코난: 비색의 탄환'],['9.08'],['23만명'],[9.08],[230000.0],9.08,230000.0
14,['21 브릿지: 테러 셧다운'],['7.56'],['12만명'],[7.56],[120000.0],7.56,120000.0
15,[],0,0,0,0,0.0,0.0
16,"['트롤: 월드 투어', '트롤']","['8.56', '8.81']","['15만명', '67만명']","[8.56, 8.81]","[150000.0, 670000.0]",8.685,410000.0
17,[],0,0,0,0,0.0,0.0
18,['화해'],['missing data'],['missing data'],0,0,0.0,0.0
19,['바니버디'],['7.70'],['18만명'],[7.7],[180000.0],7.7,180000.0
20,['행동하는 양심 김대중'],['3.33'],"['5,789명']",[3.33],[5789.0],3.33,5789.0
21,['뮤즈'],['7.22'],['missing data'],[7.22],0,7.22,0.0
22,['고스트버스터즈'],['8.25'],['51만명'],[8.25],[510000.0],8.25,510000.0
23,['우드론'],['1947. 6. 1. 영국'],[' 175cm'],[0],0,0.0,0.0
24,['47미터 2'],['8.18'],['50만명'],[8.18],[500000.0],8.18,500000.0
25,['마이펫의 이중생활'],['9.00'],['111만명'],[9.0],[1110000.0],9.0,1110000.0
26,['원 데이-특별판'],['missing data'],['missing data'],0,0,0.0,0.0
27,"['멘, 우먼 & 칠드런']",['missing data'],['missing data'],0,0,0.0,0.0
28,['트웬티 해커'],['6.16'],"['2,691명']",[6.16],[2691.0],6.16,2691.0
29,[],0,0,0,0,0.0,0.0
30,[],0,0,0,0,0.0,0.0
31,['양말요정 휴고의 대모험'],['7.41'],['2.5만명'],[7.41],[25000.0],7.41,25000.0
32,['미스터 라잇'],['7.15'],['1.2만명'],[7.15],[12000.0],7.15,12000.0
33,['운명'],['missing data'],['missing data'],0,0,0.0,0.0
34,['고양이: 죽음을 보는 두 개의 눈'],['5.07'],['67만명'],[5.07],[670000.0],5.07,670000.0
35,['스틸 라이프'],['8.47'],"['5,391명']",[8.47],[5391.0],8.47,5391.0
36,['전망좋은 방'],['8.23'],['수상내역보기'],[8.23],0,8.23,0.0
37,['컨저링3: 악마가 시켰다'],['8.11'],['79만명'],[8.11],[790000.0],8.11,790000.0
38,['유전'],['5.12'],['missing data'],[5.12],0,5.12,0.0
39,['삼국-무영자'],['7.34'],"['3,069명']",[7.34],[3069.0],7.34,3069.0
40,['영시'],['missing data'],['missing data'],0,0,0.0,0.0
41,['인트로덕션'],['8.13'],"['6,214명']",[8.13],[6214.0],8.13,6214.0
42,['missing data'],['missing data'],['missing data'],0,0,0.0,0.0
43,[],0,0,0,0,0.0,0.0
44,['극장판 주술회전 0'],['8.94'],['66만명'],[8.94],[660000.0],8.94,660000.0
45,['기도하는 남자'],['8.31'],"['2,002명']",[8.31],[2002.0],8.31,2002.0
46,['다이노소어 어드벤처 : 백악기 공룡대백과'],['7.29'],['11만명'],[7.29],[110000.0],7.29,110000.0
47,['극장판 프리크리 : 프로그레시브'],['missing data'],['missing data'],0,0,0.0,0.0
48,['언럭키맨'],['missing data'],['missing data'],0,0,0.0,0.0
49,['스위스 아미 맨'],['수상내역보기'],['missing data'],[0],0,0.0,0.0
50,['래빗 스쿨'],['missing data'],['missing data'],0,0,0.0,0.0
51,[],0,0,0,0,0.0,0.0
52,['극장판 포켓몬스터 모두의 이야기'],['9.16'],['19만명'],[9.16],[190000.0],9.16,190000.0
53,['꼬마잠수함 올리'],['7.32'],['2.9만명'],[7.32],[29000.0],7.32,29000.0
54,['마'],['missing data'],['missing data'],0,0,0.0,0.0
55,['타임 투게더'],['8.50'],"['8,807명']",[8.5],[8807.0],8.5,8807.0
56,['드래곤볼 슈퍼: 슈퍼 히어로'],['8.55'],['1.8만명'],[8.55],[18000.0],8.55,18000.0
57,['더 하이브'],['missing data'],['missing data'],0,0,0.0,0.0
58,['셜록: 죽음의 덫'],['4.08'],['1명'],[4.08],[1.0],4.08,1.0
59,['SESIFF2016 경쟁2 먹고사는 백만가지 방법'],['missing data'],['missing data'],0,0,0.0,0.0
60,['타오르는 불씨'],['missing data'],['missing data'],0,0,0.0,0.0
61,['폭력의 법칙: 나쁜 피 두 번째 이야기'],['8.30'],['597명'],[8.3],[597.0],8.3,597.0
