movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20182280,졸업,Graduation,2018,20191107,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '박주환'}],"[{'companyCd': '20230135', 'companyNm': '미디어나무(주)'}]"
20183772,태일이,Chun Tae-il,2021,20211201,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '홍준표'}],"[{'companyCd': '20100545', 'companyNm': '(주)명필름'}, {'companyCd': '20218481', 'companyNm': '(주)스튜디오루머'}, {'companyCd': '20218361', 'companyNm': '전태일재단'}, {'companyCd': '20190561', 'companyNm': '유한회사 질라라비'}, {'companyCd': '20218461', 'companyNm': '영화 <태일이> 1970인 제작위원'}]"
20192462,마리아 칼라스: 세기의 디바,Maria by Callas: In Her Own Words,2017,20190711,장편,개봉,프랑스,다큐멘터리,프랑스,다큐멘터리,[{'peopleNm': '톰 볼프'}],[]
20219337,"1975 킬링필드, 푸난",Funan,2018,20220127,장편,개봉,프랑스,"애니메이션,드라마",프랑스,애니메이션,[{'peopleNm': '드니 도'}],[]
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - Parabellum,2019,20190626,장편,개봉,미국,"액션,범죄,스릴러",미국,액션,[{'peopleNm': '채드 스타헬스키'}],[]
20219630,사제로부터 온 편지,,2021,20210819,장편,개봉,한국,"다큐멘터리,드라마",한국,다큐멘터리,[{'peopleNm': '최종태'}],"[{'companyCd': '20230201', 'companyNm': '주식회사 영화사소요'}]"
20226798,에브리씽 에브리웨어 올 앳 원스,Everything Everywhere All At Once,2022,20221012,장편,개봉,미국,"액션,코미디",미국,액션,"[{'peopleNm': '다니엘 콴'}, {'peopleNm': '다니엘 쉐이너트'}]",[]
20190735,마티아스와 막심,Matthias & Maxime,2019,20200723,장편,개봉,캐나다,드라마,캐나다,드라마,[{'peopleNm': '자비에 돌란'}],[]
20204548,범죄도시2,The Roundup,2022,20220518,장편,개봉,한국,"범죄,액션",한국,범죄,[{'peopleNm': '이상용'}],"[{'companyCd': '20229048', 'companyNm': '주식회사 빅펀치픽쳐스'}, {'companyCd': '20063279', 'companyNm': '(주)홍필름'}, {'companyCd': '20138935', 'companyNm': '(주)비에이엔터테인먼트'}]"
20211382,오마주,Hommage,2021,20220526,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '신수원'}],"[{'companyCd': '20142791', 'companyNm': '(주)준필름'}]"
20217027,옆집사람,Next Door,2022,20221103,장편,개봉,한국,"스릴러,코미디",한국,스릴러,[{'peopleNm': '염지호'}],"[{'companyCd': '20229505', 'companyNm': '한국예술종합학교'}]"
20211567,수프와 이데올로기,Soup and Ideology,2021,20221020,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '양영희'}],"[{'companyCd': '20229503', 'companyNm': '㈜PLACE TO BE'}, {'companyCd': '20229504', 'companyNm': '㈜나비온에어'}]"
20210140,젠틀맨,Gentleman,2021,20221228,장편,개봉,한국,범죄,한국,범죄,[{'peopleNm': '김경원'}],"[{'companyCd': '20218082', 'companyNm': '(주)트릭스터'}, {'companyCd': '20239821', 'companyNm': '주식회사 에이치앤드엔터테인먼트'}]"
20227762,올빼미,The Night Owl,2021,20221123,장편,개봉,한국,스릴러,한국,스릴러,[{'peopleNm': '안태진'}],"[{'companyCd': '20123218', 'companyNm': '(주)씨제스엔터테인먼트'}, {'companyCd': '20158028', 'companyNm': '(주)영화사 담담'}]"
20209076,오피스텔: 친구애인,,2020,20201005,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '이하'}],"[{'companyCd': '20189421', 'companyNm': '(주)디에이치미디어'}]"
20204485,내여자에게 남자가 생겼다,,2020,20210128,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '이하'}],"[{'companyCd': '20189421', 'companyNm': '(주)디에이치미디어'}]"
20215973,색밝히는 가정부,,2020,20210218,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이하'}],"[{'companyCd': '20189421', 'companyNm': '(주)디에이치미디어'}]"
20218768,오피스텔: 친구애인 무삭제,,2020,20210705,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이하'}],"[{'companyCd': '20189421', 'companyNm': '(주)디에이치미디어'}]"
20227715,새아빠와모녀2,,2022,20221018,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이하'}],"[{'companyCd': '20189421', 'companyNm': '(주)디에이치미디어'}]"
20228788,몸으로 하는 이모의 영업 비밀,,2022,20221228,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '전일만'}],"[{'companyCd': '20230041', 'companyNm': '핑스토리'}]"
20228767,BJ여동생의 VIP 팬방 : 내 동생이 벗방에 초대 됐다,,2022,20221228,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '전일만'}],"[{'companyCd': '20230041', 'companyNm': '핑스토리'}]"
20227221,처제에게 먹혀버린 형부,,2022,20220929,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],[]
20227235,옆집 노인에게 조련당한 새댁,,2022,20220929,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이누가미료'}],[]
20226397,남편 동생에게 위 아래 더럽혀진 몸,,2022,20220818,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이누가미료'}],[]
20226385,형부 유혹한 음탕한 처제,,2022,20220819,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],[]
20226399,성적 올려주는 I컵 과외 선생님,,2022,20220823,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '아사기리 키요시'}],[]
20226398,육덕 여상사에 먹혀버린 물건,,2022,20220819,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],[]
20226396,남매끼리 하니까 좋아?,,2022,20220818,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],[]
