,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,date
0,1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,11047975705,36.4,-9491237208,-46.2,92571580337,1318754,-1146248,-46.5,11502259,1260,16497,20180107
1,2,2,0,OLD,20170590,1987,2017-12-27,8919543895,29.4,-2401051542,-21.2,32847722932,1060097,-293609,-21.7,4089298,1094,14006,20180107
2,3,3,0,NEW,20171909,쥬만지: 새로운 세계,2018-01-03,5557904150,18.3,5557904150,100.0,7342405650,659519,659519,100.0,894544,791,9557,20180107
3,4,4,0,NEW,20177104,페르디난드,2018-01-03,1886998500,6.2,1886998500,100.0,2625604300,247007,247007,100.0,355767,698,4388,20180107
4,5,5,-2,OLD,20170402,강철비,2017-12-14,998370700,3.3,-1394704944,-58.3,34705414466,119809,-171616,-58.9,4350728,495,2938,20180107
5,6,6,-2,OLD,20179462,위대한 쇼맨,2017-12-20,966483800,3.2,-273979369,-22.1,8787075600,112092,-35317,-24.0,1071884,353,2296,20180107
6,7,7,0,OLD,20176947,원더,2017-12-27,214135245,0.7,-227403455,-51.5,1162986245,25498,-28374,-52.7,147685,157,817,20180107
7,8,8,-3,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,144192800,0.5,-522842100,-78.4,3735795500,18625,-68828,-78.7,498530,159,544,20180107
8,9,9,0,NEW,20161872,너의 이름은.,2017-01-04,148125700,0.5,148125700,100.0,29811759156,17762,17762,100.0,3705235,121,597,20180107
9,10,10,-2,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,81080700,0.3,-206890600,-71.8,6140841300,10399,-26334,-71.7,812674,93,323,20180107
0,1,1,1,OLD,20170590,1987,2017-12-27,8733064113,33.1,-186479782,-2.1,46645220945,1031155,-28942,-2.7,5786846,1122,13145,20180114
1,2,2,-1,OLD,20150976,신과함께-죄와 벌,2017-12-20,6253702100,23.7,-4794273605,-43.4,103286639737,745691,-573063,-43.5,12844046,985,10984,20180114
2,3,3,18,OLD,20179985,코코,2018-01-11,6093616096,23.1,6085144096,71826.5,7006704696,732324,731374,76986.7,849975,1177,11551,20180114
3,4,4,-1,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,2740753091,10.4,-2817151059,-50.7,12352965141,327852,-331667,-50.3,1518991,677,6067,20180114
4,5,5,29,OLD,20173547,다운사이징,2018-01-11,793404104,3.0,791046104,33547.3,1047364204,92106,91844,35055.0,125427,506,3896,20180114
5,6,6,0,OLD,20179462,위대한 쇼맨,2017-12-20,547684000,2.1,-418799800,-43.3,9934501900,62910,-49182,-43.9,1211474,232,1239,20180114
6,7,7,-3,OLD,20177104,페르디난드,2018-01-03,402411800,1.5,-1484586700,-78.7,3609050900,53768,-193239,-78.2,496001,343,1430,20180114
7,8,8,-3,OLD,20170402,강철비,2017-12-14,255408900,1.0,-742961800,-74.4,35370557666,30856,-88953,-74.2,4436231,198,825,20180114
8,9,9,-2,OLD,20176947,원더,2017-12-27,128235500,0.5,-85899745,-40.1,1420370045,15010,-10488,-41.1,179828,94,509,20180114
9,10,10,0,NEW,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",2018-01-11,108969000,0.4,108969000,100.0,172098400,13495,13495,100.0,22051,363,1718,20180114
0,1,1,13,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,7471267863,28.9,7434125563,20015.3,10581887863,869065,865766,26243.3,1265956,1090,13314,20180121
1,2,2,17,OLD,20176104,그것만이 내 세상,2018-01-17,5458199590,21.1,5441884590,33355.1,7479660690,647873,646084,36114.3,910369,861,10384,20180121
2,3,3,0,OLD,20179985,코코,2018-01-11,4539468837,17.6,-1554147259,-25.5,14398072833,565689,-166635,-22.8,1803022,971,7716,20180121
3,4,4,-3,OLD,20170590,1987,2017-12-27,3940572400,15.2,-4792491713,-54.9,53738938745,465070,-566085,-54.9,6668166,745,8228,20180121
4,5,5,-3,OLD,20150976,신과함께-죄와 벌,2017-12-20,3027640400,11.7,-3226061700,-51.6,108799838637,362520,-383171,-51.4,13542124,650,6307,20180121
5,6,6,-2,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,449032773,1.7,-2291720318,-83.6,13636619864,54855,-272997,-83.3,1684650,372,1717,20180121
6,7,7,-1,OLD,20179462,위대한 쇼맨,2017-12-20,246867000,1.0,-300817000,-54.9,10499093400,28440,-34470,-54.8,1280472,121,581,20180121
7,8,8,1,OLD,20176947,원더,2017-12-27,100072800,0.4,-28162700,-22.0,1604088045,13676,-1334,-8.9,204774,58,332,20180121
8,9,9,0,NEW,20173662,리틀 뱀파이어,2018-01-18,96780500,0.4,96780500,100.0,121882800,12861,12861,100.0,16476,213,723,20180121
9,10,10,0,NEW,20189525,젝스키스 에이틴,2018-01-18,92179400,0.4,92179400,100.0,162136600,11993,11993,100.0,21050,25,197,20180121
0,1,1,1,OLD,20176104,그것만이 내 세상,2018-01-17,5694679462,29.2,236479872,4.3,16200755752,672690,24817,3.8,1977772,956,10996,20180128
1,2,2,1,OLD,20179985,코코,2018-01-11,3926002683,20.1,-613466154,-13.5,20286116416,483346,-82343,-14.6,2556230,1025,8354,20180128
2,3,3,-2,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,3094633662,15.9,-4376634201,-58.6,16228563725,361211,-507854,-58.4,1953715,771,8464,20180128
3,4,4,1,OLD,20150976,신과함께-죄와 벌,2017-12-20,1942842400,10.0,-1084798000,-35.8,112047780437,230194,-132326,-36.5,13948209,704,5207,20180128
4,5,5,-1,OLD,20170590,1987,2017-12-27,1580122500,8.1,-2360449900,-59.9,56607518645,186805,-278265,-59.8,7025933,610,5014,20180128
5,6,6,0,NEW,20178230,커뮤터,2018-01-24,1271698155,6.5,1271698155,100.0,1819420755,150560,150560,100.0,223178,575,5557,20180128
6,7,7,0,NEW,20168161,1급기밀,2018-01-24,914152700,4.7,914152700,100.0,1333325500,109171,109171,100.0,164380,512,3903,20180128
7,8,8,0,NEW,20178444,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,159044700,0.8,159044700,100.0,197681200,20832,20832,100.0,26133,305,1082,20180128
8,9,9,-2,OLD,20179462,위대한 쇼맨,2017-12-20,169067800,0.9,-77799200,-31.5,10820308600,19249,-9191,-32.3,1319279,111,501,20180128
9,10,10,18,OLD,20177473,비밥바룰라,2018-01-24,124658500,0.6,117858500,1733.2,245160900,17485,16748,2272.5,34470,325,1494,20180128
0,1,1,67,OLD,20168323,염력,2018-01-31,3952393257,24.2,3950953257,274371.8,6393048857,471761,471617,327511.8,846977,1051,15623,20180204
1,2,2,-1,OLD,20176104,그것만이 내 세상,2018-01-17,3696905085,22.6,-1997774377,-35.1,22512801537,441008,-231682,-34.4,2792046,863,9601,20180204
2,3,3,-1,OLD,20179985,코코,2018-01-11,2268697200,13.9,-1657305483,-42.2,24033305116,277423,-205923,-42.6,3047604,805,6028,20180204
3,4,4,0,NEW,20178126,인시디어스4: 라스트 키,2018-01-31,1788880964,11.0,1788880964,100.0,2786321464,212110,212110,100.0,363224,769,7361,20180204
4,5,5,-1,OLD,20150976,신과함께-죄와 벌,2017-12-20,1055990500,6.5,-886851900,-45.6,113967154437,125011,-105183,-45.7,14196197,534,3329,20180204
5,6,6,-3,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,879432479,5.4,-2215201183,-71.6,18163094104,105752,-255459,-70.7,2206345,508,2977,20180204
