"","movieNm","audiAcc"
"1","#살아있다","803868"
"2","#아이엠히어","8512"
"3","0.0MHz","85289"
"4","007 노 타임 투 다이","981195"
"5","100% 울프: 푸들이 될 순 없어","9192"
"6","12 솔져스","96156"
"7","1917","860622"
"8","1919 유관순","8535"
"9","1942: 언노운 배틀","4634"
"10","1984 최동원","5322"
"11","1987","7201087"
"12","1급기밀","78168"
"13","2020 청주영상위원회 '영화와 함께하는 11월' 관객과의 대화[GV]","680"
"14","21 브릿지: 테러 셧다운 ","83949"
"15","355","7060"
"16","47미터 2","82419"
"17","5.18 힌츠페터 스토리","7100"
"18","500일의 썸머","295712"
"19","50가지 그림자: 해방","90265"
"20","7년의 밤","6282"
"21","800","9226"
"22","82년생 김지영","8803"
"23","BIAF2020 BIAF 클래식","7500"
"24","BIAF2021 부천국제애니메이션페스티벌 기획상영展","557"
"25","BIAF2021 한국 단편 경쟁 B","4895"
"26","BIFAN2019 판타스틱 단편 걸작선 1","25000"
"27","BIFAN2020 판타스틱 단편 걸작선 1","8800"
"28","BIFAN2021 판타스틱 단편 걸작선 1","8987"
"29","BIFAN2022 부천 초이스: 단편 1","8406"
"30","BIFAN2022 부천 초이스: 단편 2","950"
"31","BIFAN2022 엑스라지 3","2053"
"32","BIFAN2022 엑스라지 4","2254"
"33","B컷","2396"
"34","DC 리그 오브 슈퍼-펫","90577"
"35","EBS 댄스파티! ","9318"
"36","F20","9169"
"37","FIWOM 2018 웃어봐-수잔과 남자-내일, 또 내일, 그리고 또 내일-여자1 여자2 여자3-루비 파샤의 전설","1452"
"38","n번째 이별 중","7783"
"39","O.J. 심슨 사건 파일","1014"
"40","PMC: 더 벙커","777691"
"41","가나의 혼인잔치: 언약","6582"
"42","가버나움","96692"
"43","가을의 마티네","3629"
"44","가장 보통의 연애","847497"
"45","가재가 노래하는 곳","10639"
"46","간이역","2554"
"47","감동주의보","762"
"48","감쪽같은 그녀","71453"
"49","강릉","87150"
"50","강철비","4445387"
"51","강철비2 : 정상회담 확장판","16693"
"52","강철비2: 정상회담","788587"
"53","개들의 섬","18118"
"54","거미줄에 걸린 소녀","6148"
"55","건즈 아킴보","8919"
"56","건파우더 밀크셰이크","33773"
"57","걸","796"
"58","걸리버 리턴즈","4750"
"59","걸즈 앤 판처 최종장","1030"
"60","걸캅스","926765"
"61","걸후드","6033"
"62","검객","735"
"63","게이트","86552"
"64","겨울왕국 2","9558551"
"65","겨울왕국의 무민","24559"
"66","결백","894025"
"67","결혼 이야기","9615"
"68","경계선","1966"
"69","경관의 피","69228"
"70","경아의 딸","6619"
"71","고고다이노 극장판: 얼음공룡의 비밀","7033"
"72","고릴라와 슈퍼레이스","5158"
"73","고백","798"
"74","고속도로 가족","7933"
"75","고스트 오브 워","7038"
"76","고스트버스터즈 라이즈","98412"
"77","고양이 여행 리포트","7647"
"78","고양이를 부탁해","655"
"79","고장난 론","98643"
"80","고질라 VS. 콩","80023"
"81","고질라: 킹 오브 몬스터","92635"
"82","곤지암","993544"
"83","골든슬럼버","982631"
"84","곰돌이 푸 다시 만나 행복해","82254"
"85","공기살인","96896"
"86","공작","960657"
"87","공조2: 인터내셔날","7847"
"88","공포분자","1971"
"89","공포의 묘지","92642"
"90","공포체험라디오 4DX","538"
"91","관계의 가나다에 있는 우리는","2141"
"92","광대: 소리꾼","15059"
"93","광대들: 풍문조작단","88515"
"94","괴기맨숀","7623"
"95","괴짜들의 로맨스","8450"
"96","교회오빠","79000"
"97","구스 베이비","72357"
"98","구스범스: 몬스터의 역습","5404"
"99","국가부도의 날","744635"
"100","국제수사","86468"
"101","굴뚝마을의 푸펠","9022"
"102","굿 라이어","8643"
"103","굿바이","147277"
"104","궁합","983814"
"105","귀멸의 칼날: 나타구모산 편","8376"
"106","귀멸의 칼날: 남매의 연","60315"
"107","귀멸의 칼날: 아사쿠사 편","5423"
"108","귀멸의 칼날: 장구저택 편","4188"
"109","귀멸의 칼날: 주합회의·나비저택 편","8054"
"110","귀못","8283"
"111","귀문","921"
"112","그 시절, 우리가 좋아했던 소녀","47670"
"113","그것: 두 번째 이야기","58979"
"114","그것만이 내 세상","910369"
"115","그날, 바다","7865"
"116","그녀가 말했다","2149"
"117","그대 이름은 장미","88937"
"118","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","95718"
"119","그대가 조국","72082"
"120","그래비티","3292521"
"121","그랜드 부다페스트 호텔","799351"
"122","그레이 맨","6671"
"123","그레타 툰베리","260"
"124","그레텔과 헨젤","9049"
"125","그리고 우린 춤을 추었다","4183"
"126","그리스도 디 오리진","1368"
"127","그린 나이트","9049"
"128","그린 북","99569"
"129","그린랜드","64284"
"130","그린치","55581"
"131","그림자꽃","673"
"132","그링고","6962"
"133","그집","9888"
"134","극장판 5등분의 신부","6360"
"135","극장판 가면라이더 이그제이드: 트루 엔딩","18318"
"136","극장판 검정고무신 : 즐거운 나의 집","6596"
"137","극장판 공룡메카드: 타이니소어의 섬","89444"
"138","극장판 귀멸의 칼날: 무한열차편","979624"
"139","극장판 금빛 모자이크 땡큐!!","6555"
"140","극장판 기븐","905"
"141","극장판 도라에몽: 진구의 보물섬","90373"
"142","극장판 도라에몽: 진구의 신공룡","61417"
"143","극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021","9647"
"144","극장판 레이디버그: 미라클스톤의 비밀","7879"
"145","극장판 미니특공대: 공룡왕 디노 ","8065"
"146","극장판 미니특공대: 햄버거괴물의 습격","8768"
"147","극장판 바다 탐험대 옥토넛 : 대산호초 보호작전","7957"
"148","극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발","7840"
"149","극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출	","9427"
"150","극장판 바이올렛 에버가든","9344"
"151","극장판 반지의 비밀일기","6997"
"152","극장판 뽀로로와 친구들: 바이러스를 없애줘!","92880"
"153","극장판 뽀잉: 슈퍼 변신의 비밀","5272"
"154","극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아","8360"
"155","극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초","9831"
"156","극장판 시그널","6016"
"157","극장판 시로바코","1133"
"158","극장판 안녕 자두야: 제주도의 비밀","98404"
"159","극장판 엄마 까투리: 도시로 간 까투리 가족","97556"
"160","극장판 엉덩이 탐정: 수플레 섬의 비밀","85720"
"161","극장판 엉덩이 탐정: 텐텐마을의 수수께끼","7739"
"162","극장판 엉덩이 탐정: 화려한 사건 수첩","7301"
"163","극장판 요괴워치 섀도사이드: 도깨비왕의 부활","87949"
"164","극장판 요괴워치: 포에버 프렌즈","9158"
"165","극장판 원피스 스탬피드","9650"
"166","극장판 윌벤져스 : 수상한 캠핑 대소동","8573"
"167","극장판 주술회전 0","83256"
"168","극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들","98297"
"169","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","89569"
"170","극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!","99148"
"171","극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~","60668"
"172","극장판 천재 추리 탐정 셜록홈즈","1484"
"173","극장판 콩순이: 장난감나라 대모험","72672"
"174","극장판 타오르지마 버스터-블랙어썰트의 귀환","9965"
"175","극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람","1869"
"176","극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람","936"
"177","극장판 포켓몬스터 너로 정했다!","504883"
"178","극장판 포켓몬스터 모두의 이야기","86997"
"179","극장판 포켓몬스터 뮤츠의 역습 EVOLUTION","86080"
"180","극장판 포켓몬스터: 정글의 아이, 코코","94476"
"181","극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이","82831"
"182","극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미","577402"
"183","극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리","45695"
"184","극장판 헬로카봇 : 달나라를 구해줘!","65770"
"185","극장판 헬로카봇 : 백악기 시대","854230"
"186","극장판 헬로카봇: 수상한 마술단의 비밀","93037"
"187","극장판 헬로카봇: 옴파로스 섬의 비밀","80066"
"188","극한직업","9400660"
"189","글래스","72440"
"190","기기괴괴 성형수","99387"
"191","기묘한 가족","93929"
"192","기묘한 이야기: 리플레이","1045"
"193","기방도령","7639"
"194","기생충","9989649"
"195","기적","92403"
"196","김복동","66240"
"197","꼬마 보트 토토: 타요 타요 배 타요","12245"
"198","꼬마 자전거 스피디","7598"
"199","꼬마비행기 피티와 친구들:사막구출 대작전","9413"
"200","꼬마영웅 바비","9632"
"201","꽃다발 같은 사랑을 했다","9733"
"202","끝없음에 관하여","1945"
"203","나는 나를 해고하지 않는다","8465"
"204","나는 내일, 어제의 너와 만난다","179104"
"205","나랏말싸미","958513"
"206","나를 기억해","75734"
"207","나를 만나는 길","7952"
"208","나를 차버린 스파이","85803"
"209","나를 찾아줘","635208"
"210","나미야 잡화점의 기적","97334"
"211","나쁜 녀석들: 더 무비","712124"
"212","나쁜 녀석들: 포에버","62608"
"213","나의 소녀시대","420677"
"214","나의 첫 번째 슈퍼스타","47844"
"215","나의 청춘은 너의 것","8248"
"216","나의 촛불","36895"
"217","나의 특별한 형제","976585"
"218","나의 히어로 아카데미아 더 무비: 두 명의 히어로","4492"
"219","나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션","45752"
"220","나이브스 아웃","798920"
"221","나이스 걸 라이크 유","1771"
"222","나이트 레이더스","821"
"223","나이트 헌터","6812"
"224","나이트메어 앨리","8778"
"225","나이팅게일","9349"
"226","나일 강의 죽음","64024"
"227","나츠메 우인장: 세상과 연을 맺다","7962"
"228","난폭한 기록","12040"
"229","날씨의 아이","9824"
"230","남매의 여름밤","9934"
"231","남산의 부장들","592607"
"232","남색대문","7174"
"233","낫아웃","7447"
"234","내 어깨 위 고양이, 밥 2","4317"
"235","내 친한 친구의 아침식사","2551"
"236","내가 죽기를 바라는 자들","47909"
"237","내가 죽던 날","91868"
"238","내겐 너무 소중한 너","8845"
"239","내안의 그놈","953925"
"240","내일도 우린 사랑하고 있을까","1900"
"241","내일의 기억","96415"
"242","너는 달밤에 빛나고","9988"
"243","너를 만난 여름","7615"
"244","너에게 가는 길","9204"
"245","너와 파도를 탈 수 있다면","8811"
"246","너의 결혼식","9302"
"247","너의 이름은.","3785287"
"248","너의 췌장을 먹고 싶어","41594"
"249","노매드랜드","8565"
"250","노무현과 바보들","18142"
"251","노바디","93341"
"252","노웨어 스페셜","573"
